,年月日,時間 (ULAT),温度,露点温度,湿度,気圧,視程,Wind Dir,風速,突風の速度,Precip,イベント,現在の気象状況
414,2016年6月22日,6:00 PM,18 °C,2 °C,23%,1010 hPa,10 km,East,18.0 km/h /,-,-,Thunderstorm,Thunderstorm
415,2016年6月22日,9:00 PM,18 °C,4 °C,28%,1010 hPa,10 km,WSW,7.2 km/h /,-,-,,Mostly Cloudy
416,2016年6月23日,12:00 AM,13 °C,5 °C,47%,1015 hPa,20 km,East,7.2 km/h /,-,-,,Scattered Clouds
417,2016年6月23日,3:00 AM,8 °C,3 °C,61%,1019 hPa,20 km,SW,7.2 km/h /,-,-,,Clear
418,2016年6月23日,6:00 AM,7 °C,3 °C,66%,1020 hPa,20 km,SW,7.2 km/h /,-,-,,Clear
419,2016年6月23日,9:00 AM,11 °C,6 °C,65%,1017 hPa,20 km,Calm,Calm,-,-,,Mostly Cloudy
420,2016年6月23日,12:00 PM,16 °C,6 °C,39%,1014 hPa,20 km,ENE,18.0 km/h /,-,-,,Scattered Clouds
421,2016年6月23日,3:00 PM,20 °C,5 °C,26%,1009 hPa,20 km,East,32.4 km/h /,-,-,,Partly Cloudy
422,2016年6月23日,6:00 PM,22 °C,5 °C,22%,1007 hPa,20 km,SE,18.0 km/h /,-,-,,Mostly Cloudy
423,2016年6月23日,9:00 PM,22 °C,4 °C,21%,1007 hPa,20 km,East,14.4 km/h /,-,-,,Mostly Cloudy
424,2016年6月24日,12:00 AM,18 °C,5 °C,29%,1010 hPa,20 km,South,18.0 km/h /,-,-,,Mostly Cloudy
425,2016年6月24日,3:00 AM,16 °C,7 °C,43%,1011 hPa,10 km,South,21.6 km/h /,-,-,Rain,Rain
426,2016年6月24日,6:00 AM,15 °C,8 °C,50%,1010 hPa,20 km,South,21.6 km/h /,-,-,,Partly Cloudy
427,2016年6月24日,9:00 AM,13 °C,10 °C,73%,1011 hPa,20 km,West,7.2 km/h /,-,-,,Partly Cloudy
428,2016年6月24日,12:00 PM,16 °C,10 °C,64%,1009 hPa,10 km,ESE,25.2 km/h /,-,-,,Mostly Cloudy
429,2016年6月24日,3:00 PM,16 °C,6 °C,38%,1008 hPa,10 km,SSE,25.2 km/h /,-,-,,Mostly Cloudy
430,2016年6月24日,5:00 PM,17 °C,9 °C,49%,1006 hPa,10 km,WNW,25.2 km/h /,-,-,,Mostly Cloudy
431,2016年6月24日,6:00 PM,17 °C,9 °C,49%,1006 hPa,10 km,WNW,25.2 km/h /,-,-,,Mostly Cloudy
432,2016年6月24日,9:00 PM,16 °C,6 °C,42%,1008 hPa,20 km,SSW,28.8 km/h /,-,-,,Mostly Cloudy
433,2016年6月25日,12:00 AM,13 °C,7 °C,55%,1011 hPa,20 km,West,18.0 km/h /,-,-,,Scattered Clouds
434,2016年6月25日,3:00 AM,12 °C,6 °C,57%,1012 hPa,20 km,West,18.0 km/h /,-,-,,Scattered Clouds
435,2016年6月25日,6:00 AM,10 °C,4 °C,54%,1014 hPa,20 km,WNW,14.4 km/h /,-,-,,Scattered Clouds
436,2016年6月25日,9:00 AM,13 °C,5 °C,50%,1013 hPa,20 km,West,25.2 km/h /,-,-,,Scattered Clouds
437,2016年6月25日,12:00 PM,17 °C,7 °C,41%,1010 hPa,20 km,West,28.8 km/h /,-,-,,Partly Cloudy
438,2016年6月25日,3:00 PM,20 °C,3 °C,22%,1007 hPa,20 km,West,21.6 km/h /,-,-,,Scattered Clouds
439,2016年6月25日,6:00 PM,22 °C,3 °C,18%,1004 hPa,20 km,West,25.2 km/h /,-,-,,Mostly Cloudy
440,2016年6月25日,9:00 PM,20 °C,2 °C,19%,1006 hPa,20 km,West,21.6 km/h /,-,-,,Mostly Cloudy
441,2016年6月26日,12:00 AM,15 °C,5 °C,41%,1012 hPa,20 km,WSW,10.8 km/h /,-,-,,Partly Cloudy
442,2016年6月26日,3:00 AM,15 °C,6 °C,42%,1012 hPa,20 km,West,10.8 km/h /,-,-,,Mostly Cloudy
443,2016年6月26日,6:00 AM,13 °C,5 °C,50%,1013 hPa,20 km,West,18.0 km/h /,-,-,,Scattered Clouds
444,2016年6月26日,9:00 AM,13 °C,6 °C,50%,1014 hPa,20 km,West,21.6 km/h /,-,-,,Scattered Clouds
445,2016年6月26日,12:00 PM,16 °C,3 °C,28%,1012 hPa,20 km,NW,14.4 km/h /,-,-,,Mostly Cloudy
446,2016年6月26日,3:00 PM,20 °C,2 °C,21%,1009 hPa,20 km,West,18.0 km/h /,-,-,,Mostly Cloudy
447,2016年6月26日,6:00 PM,21 °C,3 °C,20%,1007 hPa,20 km,NE,18.0 km/h /,-,-,,Mostly Cloudy
448,2016年6月26日,9:00 PM,20 °C,5 °C,24%,1008 hPa,20 km,NE,18.0 km/h /,-,-,,Partly Cloudy
449,2016年6月27日,12:00 AM,16 °C,6 °C,40%,1012 hPa,20 km,SSE,10.8 km/h /,-,-,,Scattered Clouds
450,2016年6月27日,3:00 AM,13 °C,4 °C,42%,1014 hPa,20 km,South,7.2 km/h /,-,-,,Scattered Clouds
451,2016年6月27日,6:00 AM,10 °C,3 °C,50%,1016 hPa,20 km,SW,7.2 km/h /,-,-,,Scattered Clouds
452,2016年6月27日,9:00 AM,13 °C,4 °C,45%,1014 hPa,20 km,NNW,3.6 km/h /,-,-,,Clear
453,2016年6月27日,12:00 PM,19 °C,6 °C,34%,1009 hPa,20 km,ENE,7.2 km/h /,-,-,,Scattered Clouds
454,2016年6月27日,3:00 PM,22 °C,8 °C,30%,1005 hPa,20 km,North,10.8 km/h /,-,-,,Scattered Clouds
455,2016年6月27日,6:00 PM,25 °C,6 °C,20%,1002 hPa,20 km,North,7.2 km/h /,-,-,,Partly Cloudy
456,2016年6月27日,9:00 PM,26 °C,5 °C,16%,1001 hPa,20 km,West,10.8 km/h /,-,-,,Scattered Clouds
457,2016年6月28日,12:00 AM,19 °C,7 °C,34%,1006 hPa,20 km,East,14.4 km/h /,-,-,,Scattered Clouds
458,2016年6月28日,3:00 AM,17 °C,6 °C,36%,1008 hPa,20 km,SE,10.8 km/h /,-,-,,Mostly Cloudy
459,2016年6月28日,6:00 AM,14 °C,4 °C,42%,1011 hPa,20 km,WNW,3.6 km/h /,-,-,,Scattered Clouds
460,2016年6月28日,9:00 AM,15 °C,6 °C,43%,1010 hPa,20 km,Calm,Calm,-,-,,Scattered Clouds
461,2016年6月28日,12:00 PM,22 °C,8 °C,30%,1005 hPa,20 km,East,7.2 km/h /,-,-,,Scattered Clouds
462,2016年6月28日,3:00 PM,26 °C,7 °C,20%,1001 hPa,20 km,WNW,7.2 km/h /,-,-,,Partly Cloudy
463,2016年6月28日,6:00 PM,25 °C,7 °C,22%,1000 hPa,20 km,East,21.6 km/h /,-,-,,Mostly Cloudy
464,2016年6月28日,9:00 PM,23 °C,8 °C,26%,1002 hPa,20 km,NNE,25.2 km/h /,-,-,,Overcast
465,2016年6月29日,12:00 AM,18 °C,10 °C,50%,1007 hPa,20 km,SW,10.8 km/h /,-,-,,Partly Cloudy
466,2016年6月29日,3:00 AM,16 °C,10 °C,62%,1009 hPa,20 km,South,14.4 km/h /,-,-,,Partly Cloudy
467,2016年6月29日,6:00 AM,15 °C,11 °C,69%,1009 hPa,20 km,WSW,7.2 km/h /,-,-,,Mostly Cloudy
468,2016年6月29日,9:00 AM,13 °C,12 °C,86%,1011 hPa,10 km,West,14.4 km/h /,-,-,Rain,Light Rain
469,2016年6月29日,12:00 PM,11 °C,9 °C,85%,1014 hPa,2 km,West,18.0 km/h /,-,-,Rain,Rain
470,2016年6月29日,3:00 PM,11 °C,10 °C,84%,1015 hPa,4 km,West,21.6 km/h /,-,-,Rain,Light Rain
471,2016年6月29日,6:00 PM,14 °C,7 °C,50%,1013 hPa,20 km,WNW,10.8 km/h /,-,-,,Partly Cloudy
472,2016年6月29日,9:00 PM,16 °C,7 °C,43%,1011 hPa,20 km,East,7.2 km/h /,-,-,,Partly Cloudy
473,2016年6月30日,12:00 AM,14 °C,8 °C,54%,1013 hPa,20 km,East,10.8 km/h /,-,-,,
474,2016年6月30日,3:00 AM,11 °C,9 °C,82%,1014 hPa,20 km,NW,3.6 km/h /,-,-,,
475,2016年6月30日,6:00 AM,10 °C,7 °C,80%,1015 hPa,20 km,WSW,3.6 km/h /,-,-,,Scattered Clouds
476,2016年6月30日,9:00 AM,11 °C,8 °C,78%,1014 hPa,20 km,Calm,Calm,-,-,,Clear
477,2016年6月30日,12:00 PM,17 °C,10 °C,55%,1009 hPa,20 km,East,7.2 km/h /,-,-,,Scattered Clouds
478,2016年6月30日,3:00 PM,20 °C,8 °C,34%,1006 hPa,20 km,ENE,10.8 km/h /,-,-,,Scattered Clouds
479,2016年6月30日,6:00 PM,23 °C,9 °C,29%,1002 hPa,20 km,East,7.2 km/h /,-,-,,Partly Cloudy
480,2016年6月30日,9:00 PM,23 °C,6 °C,22%,1001 hPa,20 km,East,14.4 km/h /,-,-,,Scattered Clouds
481,2016年7月1日,12:00 AM,19 °C,11 °C,52%,1004 hPa,20 km,ESE,7.2 km/h /,-,-,,Scattered Clouds
482,2016年7月1日,3:00 AM,17 °C,12 °C,65%,1006 hPa,10 km,East,10.8 km/h /,-,-,Thunderstorm,Thunderstorm
483,2016年7月1日,6:00 AM,15 °C,5 °C,38%,1006 hPa,20 km,WSW,21.6 km/h /,-,-,,Partly Cloudy
484,2016年7月1日,9:00 AM,16 °C,6 °C,38%,1005 hPa,20 km,WNW,14.4 km/h /,-,-,,Scattered Clouds
485,2016年7月1日,12:00 PM,20 °C,6 °C,31%,1008 hPa,20 km,West,18.0 km/h /,-,-,,Partly Cloudy
486,2016年7月1日,3:00 PM,22 °C,3 °C,18%,1000 hPa,20 km,East,28.8 km/h /,-,-,,Partly Cloudy
487,2016年7月1日,6:00 PM,23 °C,2 °C,15%,998 hPa,20 km,WNW,18.0 km/h /,-,-,,Partly Cloudy
488,2016年7月1日,9:00 PM,24 °C,3 °C,15%,996 hPa,20 km,NW,7.2 km/h /,-,-,,Scattered Clouds
489,2016年7月2日,12:00 AM,18 °C,9 °C,47%,1001 hPa,20 km,Calm,Calm,-,-,,Mostly Cloudy
490,2016年7月2日,3:00 AM,16 °C,8 °C,51%,1003 hPa,20 km,East,7.2 km/h /,-,-,,Scattered Clouds
491,2016年7月2日,6:00 AM,12 °C,8 °C,70%,1003 hPa,20 km,SW,10.8 km/h /,-,-,,Partly Cloudy
492,2016年7月2日,9:00 AM,14 °C,9 °C,64%,1002 hPa,20 km,NW,3.6 km/h /,-,-,,Scattered Clouds
493,2016年7月2日,12:00 PM,21 °C,8 °C,32%,997 hPa,20 km,ENE,7.2 km/h /,-,-,,Scattered Clouds
494,2016年7月2日,3:00 PM,21 °C,6 °C,27%,996 hPa,20 km,WNW,28.8 km/h /,-,-,,Partly Cloudy
495,2016年7月2日,6:00 PM,24 °C,7 °C,23%,993 hPa,20 km,West,18.0 km/h /,-,-,,Mostly Cloudy
496,2016年7月2日,9:00 PM,21 °C,9 °C,36%,996 hPa,20 km,SSW,14.4 km/h /,-,-,Rain,Light Rain
497,2016年7月3日,12:00 AM,18 °C,12 °C,58%,998 hPa,20 km,SW,10.8 km/h /,-,-,,Mostly Cloudy
498,2016年7月3日,3:00 AM,17 °C,9 °C,46%,998 hPa,20 km,SW,10.8 km/h /,-,-,,Mostly Cloudy
499,2016年7月3日,6:00 AM,16 °C,7 °C,46%,999 hPa,20 km,West,21.6 km/h /,-,-,,Partly Cloudy
500,2016年7月3日,9:00 AM,16 °C,8 °C,49%,999 hPa,50 km,WSW,18.0 km/h /,-,-,,Mostly Cloudy
501,2016年7月3日,12:00 PM,18 °C,8 °C,44%,1000 hPa,10 km,SSW,10.8 km/h /,-,-,,Mostly Cloudy
502,2016年7月3日,3:00 PM,21 °C,8 °C,32%,997 hPa,10 km,West,18.0 km/h /,-,-,,Mostly Cloudy
503,2016年7月3日,6:00 PM,20 °C,5 °C,27%,997 hPa,20 km,WSW,32.4 km/h /,-,-,,Mostly Cloudy
504,2016年7月3日,9:00 PM,22 °C,6 °C,25%,996 hPa,20 km,WSW,21.6 km/h /,-,-,,Scattered Clouds
505,2016年7月4日,12:00 AM,19 °C,6 °C,29%,1000 hPa,20 km,West,28.8 km/h /,-,-,,Scattered Clouds
506,2016年7月4日,3:00 AM,16 °C,4 °C,35%,1004 hPa,20 km,West,21.6 km/h /,-,-,,Scattered Clouds
507,2016年7月4日,6:00 AM,13 °C,4 °C,42%,1006 hPa,20 km,West,18.0 km/h /,-,-,,Scattered Clouds
508,2016年7月4日,9:00 AM,16 °C,6 °C,43%,1006 hPa,20 km,WNW,7.2 km/h /,-,-,,Scattered Clouds
509,2016年7月4日,12:00 PM,19 °C,7 °C,32%,1003 hPa,20 km,West,21.6 km/h /,-,-,,Scattered Clouds
510,2016年7月4日,3:00 PM,22 °C,5 °C,21%,1001 hPa,20 km,West,14.4 km/h /,-,-,,Partly Cloudy
511,2016年7月4日,6:00 PM,23 °C,5 °C,21%,999 hPa,20 km,WSW,10.8 km/h /,-,-,,Scattered Clouds
512,2016年7月4日,9:00 PM,23 °C,5 °C,19%,999 hPa,20 km,East,10.8 km/h /,-,-,,Partly Cloudy
513,2016年7月5日,12:00 AM,19 °C,7 °C,33%,1002 hPa,20 km,West,10.8 km/h /,-,-,,Scattered Clouds
514,2016年7月5日,3:00 AM,15 °C,7 °C,47%,1005 hPa,20 km,WSW,7.2 km/h /,-,-,,Mostly Cloudy
515,2016年7月5日,6:00 AM,17 °C,6 °C,38%,1004 hPa,20 km,West,10.8 km/h /,-,-,,Scattered Clouds
516,2016年7月5日,9:00 AM,18 °C,7 °C,38%,1004 hPa,20 km,WSW,14.4 km/h /,-,-,,Scattered Clouds
517,2016年7月5日,12:00 PM,22 °C,7 °C,27%,1001 hPa,20 km,WNW,21.6 km/h /,-,-,,Scattered Clouds
518,2016年7月5日,3:00 PM,23 °C,8 °C,26%,1000 hPa,20 km,West,18.0 km/h /,-,-,,Partly Cloudy
519,2016年7月5日,6:00 PM,23 °C,9 °C,31%,1001 hPa,20 km,SSW,21.6 km/h /,-,-,,Partly Cloudy
520,2016年7月5日,9:00 PM,23 °C,8 °C,27%,1000 hPa,20 km,West,10.8 km/h /,-,-,,Clear
521,2016年7月6日,12:00 AM,19 °C,6 °C,33%,1003 hPa,20 km,SW,14.4 km/h /,-,-,,Clear
522,2016年7月6日,3:00 AM,16 °C,7 °C,45%,1006 hPa,20 km,NW,7.2 km/h /,-,-,,
523,2016年7月6日,6:00 AM,14 °C,9 °C,64%,1007 hPa,20 km,SSW,3.6 km/h /,-,-,,
524,2016年7月6日,9:00 AM,15 °C,8 °C,54%,1007 hPa,20 km,Calm,Calm,-,-,,Mostly Cloudy
525,2016年7月6日,12:00 PM,22 °C,8 °C,31%,1003 hPa,20 km,West,14.4 km/h /,-,-,,Clear
526,2016年7月6日,3:00 PM,24 °C,8 °C,25%,1002 hPa,20 km,West,7.2 km/h /,-,-,,Mostly Cloudy
527,2016年7月6日,6:00 PM,25 °C,7 °C,21%,1000 hPa,20 km,South,7.2 km/h /,-,-,,Mostly Cloudy
